RPT;GNT;SAL;SDN;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25
R1;G5;T0;25;0;0;0;0;0;2;6;10;1;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
R1;G1;T0;25;0;0;0;0;0;1;5;2;3;7;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R1;G6;T0;25;0;0;0;0;6;5;7;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R1;G3;T0;25;0;0;0;0;0;4;4;3;0;1;2;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0
R1;G4;T0;25;0;0;0;0;0;5;5;2;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R1;G2;T0;25;0;0;0;0;0;4;3;10;2;1;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
R1;G5;T3;25;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
R1;G1;T3;25;0;0;0;0;0;0;0;1;0;0;0;0;2;1;1;2;0;0;0;0;0;0;0;0;0;0
R1;G6;T3;25;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
R1;G3;T3;25;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
R1;G2;T3;25;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R1;G5;T1;25;0;0;0;0;0;0;0;4;3;3;4;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0
R1;G1;T1;25;0;0;0;0;0;0;0;4;1;1;6;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0
R1;G6;T1;25;0;0;0;0;1;1;5;4;3;3;2;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0
R1;G3;T1;25;0;0;0;0;0;0;0;4;1;2;2;2;1;1;1;4;0;0;0;0;0;0;0;0;0;0
R1;G4;T1;25;0;0;0;0;0;0;0;0;4;1;3;0;0;1;3;3;0;0;0;0;0;0;0;0;0;0
R1;G2;T1;25;0;0;0;0;0;1;3;4;2;4;6;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
R2;G5;T0;25;0;0;0;0;0;3;6;7;2;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R2;G1;T0;25;0;0;0;0;0;7;11;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R2;G6;T0;25;0;0;0;0;0;2;7;7;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R2;G3;T0;25;0;0;0;0;3;4;1;7;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R2;G4;T0;25;0;0;0;0;0;1;4;7;0;5;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0
R2;G2;T0;25;0;0;0;0;3;6;7;5;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R2;G5;T3;25;0;0;0;0;0;0;0;0;2;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
R2;G6;T3;25;0;0;0;0;1;0;1;0;3;1;0;5;0;0;1;3;0;0;0;0;0;0;0;0;0;0
R2;G3;T3;25;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R2;G2;T3;25;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
R2;G5;T1;25;0;0;0;0;0;0;2;0;6;8;2;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0
R2;G1;T1;25;0;0;0;0;0;0;2;2;1;1;2;0;1;1;1;4;0;0;0;0;0;0;0;0;0;0
